date,time,open,high,low,close,volume
2021-10-13,21:30,1.36348,1.36356,1.36315,1.36339,1231
2021-10-13,21:45,1.36341,1.36430,1.36325,1.36425,1296
2021-10-13,22:00,1.36424,1.36540,1.36407,1.36538,1346
2021-10-13,22:15,1.36534,1.36569,1.36534,1.36560,941
2021-10-13,22:30,1.36560,1.36639,1.36544,1.36604,1342
2021-10-13,22:45,1.36602,1.36644,1.36600,1.36608,856
2021-10-13,23:00,1.36607,1.36618,1.36573,1.36601,636
2021-10-13,23:15,1.36601,1.36632,1.36596,1.36597,392
2021-10-13,23:30,1.36595,1.36610,1.36594,1.36603,237
2021-10-13,23:45,1.36600,1.36625,1.36575,1.36575,407
2021-10-14,00:00,1.36577,1.36577,1.36527,1.36572,90
2021-10-14,00:15,1.36572,1.36599,1.36564,1.36587,111
2021-10-14,00:30,1.36588,1.36605,1.36579,1.36579,66
2021-10-14,00:45,1.36571,1.36599,1.36541,1.36577,891
2021-10-14,01:00,1.36579,1.36651,1.36579,1.36646,893
2021-10-14,01:15,1.36647,1.36677,1.36647,1.36670,618
2021-10-14,01:30,1.36672,1.36687,1.36662,1.36668,363
2021-10-14,01:45,1.36669,1.36669,1.36659,1.36660,222
2021-10-14,02:00,1.36660,1.36667,1.36642,1.36665,299
2021-10-14,02:15,1.36665,1.36665,1.36649,1.36650,177
2021-10-14,02:30,1.36650,1.36660,1.36637,1.36658,141
2021-10-14,02:45,1.36658,1.36685,1.36658,1.36680,246
2021-10-14,03:00,1.36681,1.36697,1.36669,1.36690,525
2021-10-14,03:15,1.36690,1.36698,1.36668,1.36670,481
2021-10-14,03:30,1.36668,1.36688,1.36654,1.36663,671
2021-10-14,03:45,1.36665,1.36682,1.36649,1.36666,499
2021-10-14,04:00,1.36666,1.36688,1.36647,1.36660,371
2021-10-14,04:15,1.36659,1.36671,1.36639,1.36642,648
2021-10-14,04:30,1.36642,1.36665,1.36628,1.36639,516
2021-10-14,04:45,1.36639,1.36639,1.36580,1.36598,263
2021-10-14,05:00,1.36598,1.36630,1.36594,1.36629,286
2021-10-14,05:15,1.36629,1.36652,1.36616,1.36649,352
2021-10-14,05:30,1.36652,1.36655,1.36637,1.36638,157
2021-10-14,05:45,1.36638,1.36680,1.36638,1.36673,461
2021-10-14,06:00,1.36672,1.36681,1.36661,1.36677,309
2021-10-14,06:15,1.36677,1.36693,1.36661,1.36687,428
2021-10-14,06:30,1.36686,1.36688,1.36667,1.36686,359
2021-10-14,06:45,1.36685,1.36719,1.36678,1.36692,472
2021-10-14,07:00,1.36693,1.36703,1.36659,1.36666,504
